StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q8,Q43_1,Q43_2,Q43_3,Q9_1,Q9_2,Q9_3,Q9_4,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q18_1,Q18_2,Q18_3,Q18_4,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q21,Q22,Q23,Q24,Q25
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,獲取媒體訊息 - 我知道如何使用搜尋工具從新媒體獲得所需的資訊。,獲取媒體訊息 - 我能夠適應新媒體的轉變（例如使用社交媒體的新功能）。,獲取媒體訊息 - 我能夠利用不同的媒體接收資訊。,獲取媒體訊息 - 我清楚知道媒體資訊的來源。,分析及理解媒體資訊 - 我會閱讀不同立場的資訊。,分析及理解媒體資訊 - 在理解資訊時，我不會只閱讀文章標題。,分析及理解媒體資訊 - 我會留意媒體發放資訊背後的目的。,分析及理解媒體資訊 - 我會反思自己在閱讀資料或參與討論時立場是否有偏頗。,分析及理解媒體資訊 - 我能夠辨別媒體資訊是否準確。,分析及理解媒體資訊 - 我能夠比較不同媒體的資訊。,分析及理解媒體資訊 - 我能以可信度、可靠性、公正性、普及程度等標準評估媒體資訊。,分析及理解媒體資訊 - 我會主動查證媒體發放的資訊。,意識及評估媒體的影響力 - 我明白資訊或會有誇大成分。,意識及評估媒體的影響力 - 我明白新聞報道可能只是事實的一部分。,意識及評估媒體的影響力 - 我能夠分析媒體內容對個人的影響。,意識及評估媒體的影響力 - 我能夠通過社交媒體影響他人的意見。,意識及評估媒體的影響力 - 我知道傳播假新聞可能造成的影響。,意識及評估媒體的影響力 - 我能夠保障自己免受閱讀新媒體資訊潛在的風險和後果影響。,應用及製造媒體資訊 - 我不會以「手動轉」的方式轉發消息。,應用及製造媒體資訊 - 我會與其他人討論某則新聞或消息。,應用及製造媒體資訊 - 我能夠綜合媒體資訊與我自己的意見。,應用及製造媒體資訊 - 我可以根據個人興趣和喜好評論或為媒體內容評分。,應用及製造媒體資訊 - 我能夠創作反映我的想法的內容。,假消息是指一些失實或錯誤訊息。以下問題關於你對假消息的認知和看法，每行只需選擇一個答案。 - 我留意到網上有假消息的流傳。,假消息是指一些失實或錯誤訊息。以下問題關於你對假消息的認知和看法，每行只需選擇一個答案。 - 我認為無論教育水平高低的人都有機會相信假消息。,假消息是指一些失實或錯誤訊息。以下問題關於你對假消息的認知和看法，每行只需選擇一個答案。 - 我不會輕易相信任何消息。,假消息是指一些失實或錯誤訊息。以下問題關於你對假消息的認知和看法，每行只需選擇一個答案。 - 我清楚發放假消息的人的目的。,假消息是指一些失實或錯誤訊息。以下問題關於你對假消息的認知和看法，每行只需選擇一個答案。 - 我會主動查證消息是否假新聞。,你一星期內通常接觸多少次假消息？,內容農場是指一些沒有原創內容的抄襲網站。以下問題關於你對內容農場的認知和看法，每行只需選擇一個答案。 - 我清楚了解內容農場背後的經營模式。,內容農場是指一些沒有原創內容的抄襲網站。以下問題關於你對內容農場的認知和看法，每行只需選擇一個答案。 - 我知道哪些網站是內容農場，並會避免瀏覽這些來源發佈的內容。,內容農場是指一些沒有原創內容的抄襲網站。以下問題關於你對內容農場的認知和看法，每行只需選擇一個答案。 - 我認為內容農場助長了假消息的傳播。,內容農場是指一些沒有原創內容的抄襲網站。以下問題關於你對內容農場的認知和看法，每行只需選擇一個答案。 - 我不會輕易相信農場資訊的內容。,內容農場是指一些沒有原創內容的抄襲網站。以下問題關於你對內容農場的認知和看法，每行只需選擇一個答案。 - 我認為內容農場對新聞媒體帶來負面影響。,事實查核（Fact-checking）專頁是指一些專門查證坊間流傳的新聞或者傳言的專頁，例子有求驗傳媒、事實查核實驗室、傳真社等。請問你有沒有讚好／追蹤事實查核專頁？,以下問題關於你使用事實查核專頁的頻率，每行只需選擇一個答案。 - 表達反應,以下問題關於你使用事實查核專頁的頻率，每行只需選擇一個答案。 - 分享,以下問題關於你使用事實查核專頁的頻率，每行只需選擇一個答案。 - 留言,新聞消費是指接收及使用新聞資訊 。以下問題是有關你在不同媒介上的新聞消費頻率，每行只需選擇一個答案。 - 報紙,新聞消費是指接收及使用新聞資訊 。以下問題是有關你在不同媒介上的新聞消費頻率，每行只需選擇一個答案。 - 電台廣播,新聞消費是指接收及使用新聞資訊 。以下問題是有關你在不同媒介上的新聞消費頻率，每行只需選擇一個答案。 - 電視,新聞消費是指接收及使用新聞資訊 。以下問題是有關你在不同媒介上的新聞消費頻率，每行只需選擇一個答案。 - 新聞網頁／應用程式,你有沒有使用社交媒體消費新聞？,你有多經常從以下的社交媒體平台上閱覽新聞報導？ - Facebook,你有多經常從以下的社交媒體平台上閱覽新聞報導？ - Instagram,你有多經常從以下的社交媒體平台上閱覽新聞報導？ - Youtube,你有多經常從以下的社交媒體平台上閱覽新聞報導？ - LIHKG,你有多經常從以下的社交媒體平台上閱覽新聞報導？ - Twitter,傳統媒體專頁是指由紙媒、電台、電視台營運的專頁，例子有明報、蘋果日報、文匯報、香港電台、有線新聞等等。請問你有沒有讚好／追蹤傳統媒體專頁？,以下問題是有關你在透過傳統媒體專頁消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。 - 表達反應 （即在帖子留下「讚好」、「愛心」、「哇」、「哈哈」、「難過」、「生氣」）,以下問題是有關你在透過傳統媒體專頁消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。 - 分享,以下問題是有關你在透過傳統媒體專頁消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。 - 留言,以下問題是有關你在透過傳統媒體專頁消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。 - 分享時加入個人意見,"網絡媒體專頁是指由非傳統新聞機構營運的專頁，例子有立場新聞、輔仁網、香港獨立媒體網等。
請問你有沒有讚好／追蹤網絡媒體專頁？",以下問題是有關你在透過網絡媒體專頁消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。 - 表達反應 （即在帖子留下「讚好」、「愛心」、「哇」、「哈哈」、「難過」、「生氣」）,以下問題是有關你在透過網絡媒體專頁消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。 - 分享,以下問題是有關你在透過網絡媒體專頁消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。 - 留言,以下問題是有關你在透過網絡媒體專頁消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。 - 分享時加入個人意見,政府官方專頁是指由政府部門營運，用於發放及公布消息的專頁，例子有政府新聞網、衞生署衞生防護中心等）。請問你有沒有讚好／追蹤政府官方專頁？,以下問題是有關你在透過政府官方專頁消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。 - 表達反應，即在帖子留下「讚好」、「愛心」、「哇」、「哈哈」、「難過」、「生氣」,以下問題是有關你在透過政府官方專頁消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。 - 分享,以下問題是有關你在透過政府官方專頁消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。 - 留言？,以下問題是有關你在透過政府官方專頁消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。 - 分享時加入個人意見,以下問題是有關你在透過朋友/家人分享或轉載的消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。 - 表達反應，即在帖子留下「讚好」、「愛心」、「哇」、「哈哈」、「難過」、「生氣」,以下問題是有關你在透過朋友/家人分享或轉載的消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。 - 分享,以下問題是有關你在透過朋友/家人分享或轉載的消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。 - 留言,以下問題是有關你在透過朋友/家人分享或轉載的消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。 - 分享時加入個人意見,你有多大程度相信由以下媒介發布的資訊？ - 報紙,你有多大程度相信由以下媒介發布的資訊？ - 電視,你有多大程度相信由以下媒介發布的資訊？ - 電台廣播,你有多大程度相信由以下媒介發布的資訊？ - 新聞網頁／應用程式,你有多大程度相信由以下媒介發布的資訊？ - 社交媒體,你有多大程度相信由以下專頁／對象發布的資訊？ - 傳統媒體專頁,你有多大程度相信由以下專頁／對象發布的資訊？ - 網絡媒體專頁,你有多大程度相信由以下專頁／對象發布的資訊？ - 政府官方專頁,你有多大程度相信由以下專頁／對象發布的資訊？ - 事實查核專頁,你有多大程度相信由以下專頁／對象發布的資訊？ - 朋友／家人,性別,年齡,學院 / 學系,修讀學年,修讀學位
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_7""}","{""ImportId"":""QID2_8""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID7""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID20_4""}","{""ImportId"":""QID20_5""}","{""ImportId"":""QID8""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID11""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID16""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID34_2""}","{""ImportId"":""QID34_3""}","{""ImportId"":""QID34_4""}","{""ImportId"":""QID36""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID38_2""}","{""ImportId"":""QID38_3""}","{""ImportId"":""QID38_4""}","{""ImportId"":""QID31""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}","{""ImportId"":""QID27_4""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID30_4""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID26_2""}","{""ImportId"":""QID26_3""}","{""ImportId"":""QID26_4""}","{""ImportId"":""QID26_5""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID28_3""}","{""ImportId"":""QID28_4""}","{""ImportId"":""QID28_5""}","{""ImportId"":""QID25""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}"
2020-08-21 07:37:48,2020-08-21 07:38:25,Survey Preview,,100,36,True,2020-08-21 07:38:25,R_1o1EZUKDwVeZhA8,,,,,22.4691009521484375,114.006103515625,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-21 07:44:41,2020-08-21 07:45:25,Survey Preview,,100,43,True,2020-08-21 07:45:26,R_3NIn5RE2yTwcZ92,,,,,22.4691009521484375,114.006103515625,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-21 07:51:08,2020-08-21 07:51:43,Survey Preview,,100,34,True,2020-08-21 07:51:44,R_6fBr27ECClH1BCx,,,,,22.4691009521484375,114.006103515625,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-23 02:51:32,2020-08-23 02:53:19,Survey Preview,,100,106,True,2020-08-23 02:53:19,R_eQWt5R6HtEFxu2R,,,,,22.2794952392578125,114.14599609375,preview,EN,非常同意,中立,中立,同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,同意,同意,非常同意,同意,非常同意,同意,同意,非常同意,非常同意,同意,同意,非常同意,同意,非常同意,中立,中立,中立,同意,4-5次,非常同意,中立,同意,同意,同意,沒有,,,,從不,每日1小時內,每日1小時內,每日1小時內,有,每日1小時內,每日1小時內,每日1小時內,每日1-2小時,每日1-2小時,有,從不,每30個以上帖子表達反應／留言／分享一次,每10至30個帖子會表達反應／留言／分享一次,每30個以上帖子表達反應／留言／分享一次,有,從不,每30個以上帖子表達反應／留言／分享一次,從不,從不,沒有,,,,,從不,每30個以上帖子表達反應／留言／分享一次,每30個以上帖子表達反應／留言／分享一次,每30個以上帖子表達反應／留言／分享一次,非常信任,不信任,非常信任,非常信任,信任,不信任,中立,信任,信任,中立,女,1,醫學院,Year 2,博士
2020-08-23 08:42:13,2020-08-23 08:44:16,IP Address,218.250.91.249,100,122,True,2020-08-23 08:44:16,R_DGeWm5IqRnYm7bX,,,,,22.2794952392578125,114.14599609375,anonymous,EN,非常不同意,不同意,不同意,不同意,非常不同意,中立,不同意,不同意,中立,中立,中立,不同意,中立,中立,同意,中立,中立,中立,中立,中立,中立,中立,不同意,中立,中立,同意,中立,中立,4-5次,中立,中立,同意,,不同意,沒有,,,,每日1-2小時,每日1-2小時,每日1-2小時,每日1-2小時,沒有,,,,,,,,,,,,,,,,,,,,,,,,,中立,中立,不信任,中立,中立,不信任,中立,中立,不信任,不信任,不透露,1,文學院,Year 2,學士
2020-08-24 23:18:05,2020-08-24 23:21:18,IP Address,45.64.243.116,100,192,True,2020-08-24 23:21:18,R_1Pc8RvM2ejeEp1Y,,,,,22.2794952392578125,114.14599609375,anonymous,EN,同意,同意,同意,中立,中立,同意,同意,同意,同意,同意,非常同意,中立,非常同意,非常同意,同意,非常同意,非常同意,中立,不同意,非常同意,非常同意,同意,同意,非常同意,非常同意,中立,中立,不同意,1-3次,非常同意,非常同意,非常同意,非常不同意,非常同意,有,從不,從不,從不,從不,從不,從不,每日1小時內,有,從不,每日1-2小時,每日1小時內,從不,從不,有,從不,從不,從不,從不,有,每30個以上帖子表達反應／留言／分享一次,每30個以上帖子表達反應／留言／分享一次,從不,從不,沒有,,,,,從不,從不,從不,從不,中立,不信任,中立,信任,信任,信任,信任,中立,信任,不信任,女,20,文學院,Year 2,學士
2020-08-24 23:18:24,2020-08-24 23:21:57,IP Address,116.49.183.108,100,212,True,2020-08-24 23:21:57,R_SDgRhYdE5EGI0ox,,,,,22.2794952392578125,114.14599609375,anonymous,EN,同意,中立,同意,同意,同意,同意,同意,同意,中立,同意,同意,中立,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,中立,同意,中立,同意,同意,同意,4-5次,同意,同意,同意,同意,同意,有,每5至10個帖子會表達反應／留言／分享一次,每10至30個帖子會表達反應／留言／分享一次,每10至30個帖子會表達反應／留言／分享一次,每日1小時內,從不,每日1小時內,每日1-2小時,沒有,,,,,,,,,,,,,,,,,,,,,,,,,中立,中立,中立,信任,中立,信任,信任,中立,信任,中立,女,21,社會科學院,Year 4,學士
2020-08-24 23:19:52,2020-08-24 23:23:09,IP Address,58.176.185.120,100,197,True,2020-08-24 23:23:10,R_TnMWofHw4puETcJ,,,,,22.4691009521484375,114.006103515625,anonymous,EN,非常同意,中立,同意,不同意,同意,同意,同意,同意,中立,中立,中立,中立,同意,同意,同意,中立,同意,中立,中立,同意,中立,中立,同意,非常同意,非常同意,同意,中立,中立,1-3次,不同意,中立,非常同意,同意,同意,有,每30個以上帖子表達反應／留言／分享一次,從不,從不,每日1小時內,從不,每日1小時內,每日1-2小時,有,從不,從不,每日1小時內,從不,從不,沒有,,,,,沒有,,,,,有,從不,從不,從不,從不,每30個以上帖子表達反應／留言／分享一次,從不,從不,從不,中立,信任,中立,中立,不信任,中立,不信任,信任,中立,中立,女,20,商學院,Year 2,學士
2020-08-24 23:20:06,2020-08-24 23:24:24,IP Address,210.6.218.56,100,257,True,2020-08-24 23:24:24,R_zSbPdnXCYRtJUEp,,,,,22.4333038330078125,114.033294677734375,anonymous,EN,同意,同意,同意,不同意,同意,同意,同意,中立,同意,同意,同意,同意,同意,同意,中立,不同意,同意,中立,中立,同意,同意,中立,同意,同意,同意,中立,不同意,中立,1-3次,不同意,不同意,同意,同意,同意,沒有,,,,從不,從不,每日1小時內,每日1小時內,沒有,,,,,,,,,,,,,,,,,,,,,,,,,中立,中立,中立,中立,不信任,中立,中立,不信任,中立,中立,女,20,文學院,Year 4,學士
2020-08-24 23:21:00,2020-08-24 23:25:31,IP Address,182.239.85.103,100,271,True,2020-08-24 23:25:32,R_2Bfy1Ru0V8JEjwl,,,,,22.2794952392578125,114.14599609375,anonymous,EN,同意,同意,中立,中立,同意,同意,中立,同意,同意,同意,同意,非常同意,非常同意,同意,非常同意,同意,同意,同意,不同意,非常同意,非常同意,中立,非常同意,同意,同意,非常同意,同意,同意,7次以上,不同意,不同意,不同意,中立,同意,有,每30個以上帖子表達反應／留言／分享一次,每30個以上帖子表達反應／留言／分享一次,每30個以上帖子表達反應／留言／分享一次,從不,從不,每日1小時內,每日3-4小時,有,每日1-2小時,每日3-4小時,每日1-2小時,每日1小時內,每日1小時內,有,每30個以上帖子表達反應／留言／分享一次,每30個以上帖子表達反應／留言／分享一次,每10至30個帖子會表達反應／留言／分享一次,每30個以上帖子表達反應／留言／分享一次,有,每10至30個帖子會表達反應／留言／分享一次,每10至30個帖子會表達反應／留言／分享一次,每10至30個帖子會表達反應／留言／分享一次,每10至30個帖子會表達反應／留言／分享一次,沒有,,,,,從不,從不,從不,從不,中立,中立,中立,信任,中立,中立,信任,不信任,信任,中立,男,19,理學院,Year 3,學士
2020-08-24 23:23:01,2020-08-24 23:27:04,IP Address,182.239.90.106,100,243,True,2020-08-24 23:27:04,R_BMu0KWJZ21IQ15T,,,,,22.2794952392578125,114.14599609375,anonymous,EN,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,中立,同意,同意,非常同意,非常同意,1-3次,非常同意,非常同意,非常同意,非常同意,非常同意,沒有,,,,從不,從不,從不,每日3-4小時,沒有,,,,,,,,,,,,,,,,,,,,,,,,,不信任,非常不信任,中立,信任,信任,中立,中立,非常不信任,非常信任,中立,不透露,23,醫學院,Year 2,學士
2020-08-24 23:27:30,2020-08-24 23:28:58,IP Address,124.244.89.54,100,87,True,2020-08-24 23:28:58,R_C9saXOaNHLV0YDv,,,,,22.266693115234375,114.233306884765625,anonymous,EN,同意,中立,中立,中立,中立,中立,中立,中立,中立,同意,不同意,中立,同意,非常同意,同意,中立,同意,不同意,同意,不同意,中立,同意,中立,同意,中立,同意,同意,同意,6-7次,同意,中立,不同意,不同意,中立,有,每30個以上帖子表達反應／留言／分享一次,每30個以上帖子表達反應／留言／分享一次,每30個以上帖子表達反應／留言／分享一次,每日3-4小時,每日1小時內,每日1小時內,從不,沒有,,,,,,,,,,,,,,,,,,,,,,,,,中立,信任,中立,非常信任,信任,信任,不信任,信任,信任,信任,男,20,商學院,Year 3,學士
2020-08-24 23:22:56,2020-08-24 23:30:23,IP Address,137.189.240.37,100,446,True,2020-08-24 23:30:23,R_1mgxeOKQY7NidhM,,,,,22.2794952392578125,114.14599609375,anonymous,EN,非常同意,非常同意,非常同意,非常不同意,中立,非常同意,非常同意,同意,不同意,中立,同意,非常不同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,不同意,非常同意,同意,非常同意,非常不同意,不同意,6-7次,非常不同意,非常不同意,非常同意,非常同意,非常同意,沒有,,,,從不,從不,每日1小時內,每日1小時內,有,每日1小時內,從不,從不,從不,從不,沒有,,,,,沒有,,,,,有,從不,從不,從不,從不,從不,從不,從不,從不,中立,中立,中立,中立,中立,中立,不信任,中立,中立,不信任,男,24,醫學院,Year 6,學士
2020-08-24 23:19:02,2020-08-24 23:32:15,IP Address,113.255.233.138,100,792,True,2020-08-24 23:32:15,R_2uqWD9dnCpMmACu,,,,,22.2794952392578125,114.14599609375,anonymous,EN,非常同意,同意,同意,中立,同意,同意,同意,同意,不同意,同意,同意,不同意,同意,非常同意,同意,同意,同意,中立,同意,中立,中立,同意,非常不同意,非常同意,非常同意,同意,同意,中立,1-3次,同意,中立,同意,同意,非常同意,有,每5至10個帖子會表達反應／留言／分享一次,每30個以上帖子表達反應／留言／分享一次,從不,從不,從不,每日1小時內,每日4小時以上,沒有,,,,,,,,,,,,,,,,,,,,,,,,,中立,中立,中立,信任,中立,中立,中立,不信任,信任,信任,女,22,商學院,Year 4,學士
2020-08-24 23:31:04,2020-08-24 23:34:18,IP Address,14.0.236.77,100,194,True,2020-08-24 23:34:18,R_3R3DOh3YtDpBZBd,,,,,22.2794952392578125,114.14599609375,anonymous,EN,同意,同意,同意,中立,同意,同意,中立,同意,同意,同意,同意,同意,非常同意,同意,同意,不同意,同意,中立,同意,同意,同意,同意,同意,同意,同意,中立,同意,中立,1-3次,非常同意,非常同意,非常同意,非常同意,同意,有,從不,每30個以上帖子表達反應／留言／分享一次,從不,每日1小時內,每日1-2小時,每日1小時內,每日1小時內,有,每日1小時內,每日1小時內,從不,每日1小時內,從不,有,從不,每30個以上帖子表達反應／留言／分享一次,從不,從不,有,從不,每30個以上帖子表達反應／留言／分享一次,從不,從不,沒有,,,,,從不,從不,從不,從不,信任,中立,信任,信任,不信任,信任,信任,中立,信任,中立,女,20,文學院,Year 1,學士
2020-08-24 23:29:44,2020-08-24 23:35:28,IP Address,119.247.40.176,100,344,True,2020-08-24 23:35:29,R_1pRPdz4SOlselHj,,,,,22.2794952392578125,114.14599609375,anonymous,EN,非常同意,非常同意,非常同意,同意,中立,同意,同意,同意,同意,同意,非常同意,同意,同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,同意,同意,同意,同意,非常同意,非常同意,同意,同意,非常同意,1-3次,非常同意,同意,同意,非常同意,非常同意,有,每30個以上帖子表達反應／留言／分享一次,從不,從不,每日1小時內,從不,每日1小時內,每日3-4小時,有,每日1-2小時,每日1小時內,每日1小時內,從不,從不,有,幾乎每個帖子都會表達反應／留言／分享一次,每10至30個帖子會表達反應／留言／分享一次,從不,從不,有,幾乎每個帖子都會表達反應／留言／分享一次,每10至30個帖子會表達反應／留言／分享一次,從不,從不,沒有,,,,,從不,從不,從不,從不,信任,中立,信任,信任,中立,信任,信任,不信任,非常信任,中立,男,19,社會科學院,Year 3,學士
2020-08-24 23:31:46,2020-08-24 23:35:43,IP Address,137.189.134.49,100,237,True,2020-08-24 23:35:44,R_ZxiodejVMoZfiq5,,,,,22.38330078125,114.18328857421875,anonymous,EN,同意,同意,同意,中立,同意,非常同意,同意,非常同意,同意,同意,非常同意,中立,同意,同意,同意,中立,同意,不同意,同意,同意,同意,中立,同意,同意,同意,同意,中立,同意,1-3次,同意,同意,非常同意,非常同意,同意,有,從不,每30個以上帖子表達反應／留言／分享一次,從不,從不,每日1小時內,每日1-2小時,每日1-2小時,沒有,,,,,,,,,,,,,,,,,,,,,,,,,中立,中立,信任,信任,中立,信任,中立,中立,中立,中立,男,22,理學院,Year 4,學士
